Timestamp,Nama (Cleaned),Angkatan,Seberapa sering Anda menggunakan aplikasi transportasi online?,Aplikasi transportasi online manakah yang paling sering Anda gunakan?,Seberapa puas Anda dengan harga yang ditawarkan aplikasi Grab?,Seberapa cepat Grab membantu Anda mendapatkan driver?,Seberapa mudah Grab digunakan untuk memesan transportasi?,Seberapa sering Anda menemukan kendaraan tersedia di area Anda dengan aplikasi Grab?,Seberapa Anda merasa aman dalam menggunakan aplikasi Grab?,Seberapa sering aplikasi grab menawarkan promo yang relevan bagi Anda?,Bagaimana kualitas pelayanan driver dari aplikasi Grab?,Seberapa puas Anda dengan harga yang ditawarkan aplikasi InDriver?,Seberapa cepat InDriver membantu Anda mendapatkan driver?,Seberapa mudah InDriver digunakan untuk memesan transportasi?,Seberapa sering Anda menemukan kendaraan tersedia di area Anda dengan aplikasi InDriver?,Seberapa Anda merasa aman dalam menggunakan aplikasi InDriver?,Seberapa sering aplikasi InDriver menawarkan promo yang relevan bagi Anda?,Bagaimana kualitas pelayanan driver dari aplikasi InDriver?,Seberapa puas Anda dengan harga yang ditawarkan aplikasi Maxim?,Seberapa cepat Maxim membantu Anda mendapatkan driver?,Seberapa mudah Maxim digunakan untuk memesan transportasi?,Seberapa sering Anda menemukan kendaraan tersedia di area Anda dengan aplikasi Maxim?,Seberapa Anda merasa aman dalam menggunakan aplikasi Maxim?,Seberapa sering aplikasi Maxim menawarkan promo yang relevan bagi Anda?,Bagaimana kualitas pelayanan driver dari aplikasi Maxim?,Seberapa puas Anda dengan harga yang ditawarkan aplikasi Gojek?,Seberapa cepat Gojek membantu Anda mendapatkan driver?,Seberapa mudah Gojek digunakan untuk memesan transportasi?,Seberapa sering Anda menemukan kendaraan tersedia di area Anda dengan aplikasi Gojek?,Seberapa Anda merasa aman dalam menggunakan aplikasi Gojek?,Seberapa sering aplikasi Gojek menawarkan promo yang relevan bagi Anda?,Bagaimana kualitas pelayanan driver dari aplikasi Gojek?
26/11/2024 23:26:48,,2022,Beberapa kali seminggu,Gojek,4,3,3,4,4,1,3,4,2,2,2,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,1,4
26/11/2024 23:28:23,,2023,Setiap hari,Gojek,4,3,4,3,3,4,4,3,2,3,3,3,2,2,2,1,3,2,2,2,2,4,4,4,4,4,4,4
26/11/2024 23:29:46,,2023,Beberapa kali dalam sebulan,Gojek,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,2,3,3,3,4,4,4,4,3
26/11/2024 23:33:14,,2022,Beberapa kali seminggu,Gojek,1,3,3,3,3,1,2,3,2,2,2,2,1,2,2,2,2,2,1,1,1,4,4,4,4,4,4,3
26/11/2024 23:33:36,,2022,Jarang,Gojek,3,3,3,3,3,2,4,3,3,3,3,3,3,3,2,3,4,2,4,4,3,2,3,4,4,4,3,3
26/11/2024 23:36:21,,2024,Beberapa kali seminggu,Gojek,2,3,3,2,3,3,3,4,3,3,2,1,3,2,3,4,3,3,2,3,3,2,3,4,4,4,1,3
26/11/2024 23:41:39,,2023,Jarang,Gojek,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3
26/11/2024 23:44:38,,2023,Jarang,Gojek,3,3,3,2,4,3,3,4,3,2,3,1,4,2,3,3,4,3,3,3,3,3,4,3,4,3,3,3
26/11/2024 23:46:42,,2022,Beberapa kali dalam sebulan,Gojek,3,3,4,3,3,3,3,3,2,2,2,2,2,2,3,3,3,2,2,3,3,4,4,4,4,3,3,4
26/11/2024 23:46:44,,2024,Jarang,Gojek,2,2,4,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4
26/11/2024 23:48:33,,2023,Jarang,Grab,3,4,3,4,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,4,2,4
26/11/2024 23:58:34,,2023,Jarang,Gojek,3,3,3,3,2,2,3,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3
26/11/2024 23:59:20,,2022,Beberapa kali dalam sebulan,Gojek,3,3,3,3,3,4,3,3,2,3,2,2,2,2,3,1,2,1,1,1,2,2,3,4,4,4,3,4
27/11/2024 0:06:25,,2022,Beberapa kali dalam sebulan,Gojek,2,2,3,4,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4
27/11/2024 0:07:00,,2023,Jarang,Gojek,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,4,2,1,3
27/11/2024 0:08:56,,2023,Jarang,Gojek,2,3,4,3,3,2,4,2,2,2,2,1,2,2,4,2,3,4,3,3,2,4,4,4,4,4,4,4
27/11/2024 0:22:35,,2023,Beberapa kali dalam sebulan,Grab,4,4,4,3,4,3,3,4,3,2,2,3,2,3,4,3,2,3,3,2,3,3,4,4,3,3,3,3
27/11/2024 0:25:26,,2023,Setiap hari,Grab,3,4,4,4,4,3,4,4,3,3,2,1,2,1,3,2,2,2,2,2,2,2,2,4,2,4,2,3
27/11/2024 0:35:13,,2023,Beberapa kali dalam sebulan,Gojek,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
